,ts_code,symbol,name,area,industry,abbreviation,list_date
3777,603032.SH,603032,德新科技,新疆,专用机械,dxkj,20170105
3778,603033.SH,603033,三维股份,浙江,橡胶,swgf,20161207
3779,603035.SH,603035,常熟汽饰,江苏,汽车配件,csqs,20170105
3780,603036.SH,603036,如通股份,江苏,专用机械,rtgf,20161209
3781,603037.SH,603037,凯众股份,上海,汽车配件,kzgf,20170120
3782,603038.SH,603038,华立股份,广东,家居用品,hlgf,20170116
3783,603039.SH,603039,ST泛微,上海,软件服务,stfw,20170113
3784,603040.SH,603040,新坐标,浙江,汽车配件,xzb,20170209
3785,603041.SH,603041,美思德,江苏,化工原料,msd,20170330
3786,603042.SH,603042,华脉科技,江苏,通信设备,hmkj,20170602
3787,603043.SH,603043,广州酒家,广东,食品,gzjj,20170627
3788,603045.SH,603045,福达合金,浙江,电气设备,fdhj,20180517
3789,603048.SH,603048,浙江黎明,浙江,汽车配件,zjlm,20211116
3790,603050.SH,603050,科林电气,河北,电气设备,kldq,20170414
3791,603051.SH,603051,鹿山新材,广东,塑料,lsxc,20220325
3792,603052.SH,603052,可川科技,江苏,元器件,kckj,20221011
3793,603053.SH,603053,成都燃气,四川,供气供热,cdrq,20191217
3794,603055.SH,603055,台华新材,浙江,纺织,thxc,20170921
3795,603056.SH,603056,德邦股份,上海,仓储物流,dbgf,20180116
3796,603057.SH,603057,紫燕食品,上海,食品,zysp,20220926
3797,603058.SH,603058,永吉股份,贵州,广告包装,yjgf,20161223
3798,603059.SH,603059,倍加洁,江苏,日用化工,bjj,20180302
3799,603060.SH,603060,国检集团,北京,建筑工程,gjjt,20161109
3800,603063.SH,603063,禾望电气,深圳,电气设备,hwdq,20170728
3801,603066.SH,603066,音飞储存,江苏,仓储物流,yfcc,20150611
3802,603067.SH,603067,振华股份,湖北,化工原料,zhgf,20160913
3803,603068.SH,603068,博通集成,上海,半导体,btjc,20190415
3804,603069.SH,603069,海汽集团,海南,公路,hqjt,20160712
3805,603070.SH,603070,万控智造,浙江,电气设备,wkzz,20220310
3806,603071.SH,603071,物产环能,浙江,批发业,wchn,20211216
3807,603076.SH,603076,乐惠国际,浙江,专用机械,lhgj,20171113
3808,603077.SH,603077,和邦生物,四川,化工原料,hbsw,20120731
3809,603078.SH,603078,江化微,江苏,半导体,jhw,20170410
3810,603079.SH,603079,圣达生物,浙江,食品,sdsw,20170823
3811,603080.SH,603080,新疆火炬,新疆,供气供热,xjhj,20180103
3812,603081.SH,603081,大丰实业,浙江,专用机械,dfsy,20170420
3813,603083.SH,603083,剑桥科技,上海,通信设备,jqkj,20171110
3814,603085.SH,603085,天成自控,浙江,汽车配件,tczk,20150630
3815,603086.SH,603086,先达股份,山东,农药化肥,xdgf,20170511
3816,603087.SH,603087,甘李药业,北京,生物制药,glyy,20200629
3817,603088.SH,603088,宁波精达,浙江,机床制造,nbjd,20141111
3818,603089.SH,603089,正裕工业,浙江,汽车配件,zygy,20170126
3819,603090.SH,603090,宏盛股份,江苏,专用机械,hsgf,20160831
3820,603093.SH,603093,南华期货,浙江,多元金融,nhqh,20190830
3821,603095.SH,603095,越剑智能,浙江,纺织机械,yjzn,20200415
3822,603096.SH,603096,新经典,天津,出版业,xjd,20170425
3823,603097.SH,603097,江苏华辰,江苏,电气设备,jshc,20220512
3824,603098.SH,603098,森特股份,北京,装修装饰,stgf,20161216
3825,603099.SH,603099,长白山,吉林,旅游景点,cbs,20140822
