代码,名称,最新价,涨跌幅,换手率,成交额,涨速,市盈率,总市值,流通市值,今年,60日,成交量,最高,最低,今开,昨收
002973,侨银股份,11.87,4.86,0.23,10861578.0,3.04,17.14,4850852957.0,4850694492.0,11.35,3.22,9405.0,11.87,11.32,11.38,11.32
300097,智云股份,6.2,4.55,0.34,5562588.35,3.33,-12.57,1789007948.0,1674117478.0,17.65,8.39,9178.0,6.2,5.88,5.96,5.93
300576,容大感光,37.0,2.21,5.98,270934908.67,3.12,177.43,7897825935.0,4683655027.0,79.18,70.35,75680.0,37.0,35.25,35.67,36.2
301041,金百泽,22.4,5.66,3.75,41751401.45,3.27,72.41,2389632000.0,1146852403.0,17.09,28.29,19200.0,22.48,21.22,21.36,21.2
603010,万盛股份,13.8,9.87,0.8,51110359.0,3.6,21.41,8136184583.0,6696762625.0,16.65,7.06,38615.0,13.8,12.79,12.9,12.56
300538,同益股份,15.45,0.39,2.81,47408254.78,3.41,197.27,2810641953.0,1725857391.0,48.7,37.46,31438.0,15.56,14.82,15.39,15.39
600781,*ST辅仁,1.24,-1.59,3.72,16697660.0,3.33,-1.0,777675315.0,464086395.0,-43.38,-51.37,139058.0,1.24,1.2,1.2,1.26
300594,朗进科技,23.4,6.61,0.83,16834947.0,3.04,-32.17,2127714030.0,2097166804.0,36.13,15.67,7451.0,23.43,21.85,22.0,21.95
688203,海正生材,17.11,5.36,0.65,5285497.0,3.01,73.73,3467821743.0,825924270.0,9.33,-4.36,3158.0,17.11,16.35,16.39,16.24
603061,金海通,148.49,7.91,12.23,262305792.0,3.08,57.88,8909400000.0,2227350000.0,153.48,153.48,18341.0,148.8,138.88,140.0,137.6
600853,龙建股份,4.86,2.75,1.71,81120969.0,3.4,14.09,4932426374.0,4883821514.0,29.6,50.0,171391.0,4.87,4.68,4.72,4.73
832735,德源药业,36.39,6.4,0.28,4422556.1,3.12,25.37,2374101795.0,1633763402.0,102.28,102.96,1260.0,36.39,34.39,34.4,34.2
301056,森赫股份,9.35,4.7,6.75,40394451.93,3.2,49.01,2494455336.0,623613836.0,22.86,16.15,44995.0,9.35,8.75,8.77,8.93
002089,*ST新海,1.12,-1.75,8.22,110739558.0,3.7,116.98,1539629970.0,1396419277.0,-47.17,-50.88,1024547.0,1.12,1.08,1.08,1.14
603005,晶方科技,25.35,7.69,7.61,1215525114.0,3.05,56.24,16558932971.0,16532552747.0,36.66,28.75,496300.0,25.35,23.89,24.29,23.54
002417,*ST深南,3.04,-1.62,10.1,70056034.62,3.4,-56.56,821629312.0,717003237.0,-53.23,-58.07,238130.0,3.04,2.94,2.94,3.09
002983,芯瑞达,20.98,6.44,1.96,20856183.76,3.05,33.92,3864180320.0,1098084221.0,21.84,14.33,10268.0,20.98,19.73,19.85,19.71
300582,英飞特,15.49,8.02,2.7,88456883.25,3.4,22.58,4602217326.0,3405774404.0,23.03,16.64,59281.0,15.5,14.35,14.4,14.34
000158,常山北明,7.25,3.13,0.92,102311644.53,3.57,-64.09,11589971227.0,11463887804.0,29.0,23.09,145649.0,7.25,6.93,7.06,7.03
603186,华正新材,31.49,4.24,0.75,32304631.0,3.08,123.95,4471946733.0,4468208240.0,39.21,47.56,10620.0,31.5,29.7,30.0,30.21
300561,汇金科技,14.04,2.78,5.38,132299836.92,3.46,244.07,4606635969.0,2543891777.0,56.0,49.36,97395.0,14.06,13.33,13.8,13.66
300429,强力新材,9.92,4.75,4.7,168523377.47,3.01,111.96,5111389596.0,3727096312.0,37.21,22.62,176621.0,9.92,9.21,9.3,9.47
002654,万润科技,5.39,4.26,0.69,27656608.0,3.26,-60.55,4609128941.0,4119321999.0,6.94,4.26,52617.0,5.44,5.19,5.22,5.17
603078,江化微,25.66,6.87,4.23,263774469.0,3.14,72.01,7611885989.0,6537242008.0,25.11,11.71,107890.0,25.66,23.8,24.06,24.01
003021,兆威机电,67.44,7.63,1.39,54756235.65,3.07,84.48,11552584220.0,4064743680.0,40.3,28.46,8404.0,67.44,62.58,63.11,62.66
